             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          14839648      epyc fastqc_h yuendo08  R       0:24      1 a017
          14837670      epyc     bash koichi_t  R   11:48:02      1 a017
          14837668      epyc     bash koichi_t  R   11:48:09      1 a022
          14562110      epyc raxml-ng mfurukaw  R 17-21:42:52      1 a004
          14838867      epyc syriA1A2 kobataku  R      43:01      1 a049
          14838865      epyc syriA1B1 kobataku  R      43:04      1 a024
          14837813      epyc ramdaq_A  hironao  R    9:42:05      1 a022
          14814296      epyc repeatma athenalq  R 4-11:52:29      1 a019
          14814290      epyc repeatma athenalq  R 4-11:55:44      1 a020
          14814402      epyc      trf athenalq  R 4-09:23:39      1 a018
          14814400      epyc      trf athenalq  R 4-09:27:22      1 a018
          14838785      epyc run_PCA.  kumaeel  R      37:55      1 a021
        14744171_1      epyc run_Real   fukuda  R 9-21:24:49      1 a020
          14824368      epyc 0209_sus yumekota  R 2-12:31:35      3 a[004,020-021]
          14827932      epyc     bash ryuma_ma  R 1-20:37:06      1 a005
          14816192      epyc RepeatMo  htakagi  R 3-17:37:16      1 a005
        14838684_1      epyc variant_ takumi_t  R      15:58      1 a023
       14838682_65      epyc variant_ takumi_t  R       0:25      1 a004
       14838682_64      epyc variant_ takumi_t  R       1:56      1 a004
       14838682_61      epyc variant_ takumi_t  R       5:26      1 a019
       14838682_62      epyc variant_ takumi_t  R       5:26      1 a020
       14838682_63      epyc variant_ takumi_t  R       5:26      1 a004
       14838682_59      epyc variant_ takumi_t  R       5:56      1 a004
       14838682_60      epyc variant_ takumi_t  R       5:56      1 a004
       14838682_58      epyc variant_ takumi_t  R       7:26      1 a004
       14838682_54      epyc variant_ takumi_t  R       7:56      1 a020
       14838682_55      epyc variant_ takumi_t  R       7:56      1 a004
       14838682_56      epyc variant_ takumi_t  R       7:56      1 a004
       14838682_57      epyc variant_ takumi_t  R       7:56      1 a004
       14838682_49      epyc variant_ takumi_t  R       8:27      1 a020
       14838682_50      epyc variant_ takumi_t  R       8:27      1 a020
       14838682_51      epyc variant_ takumi_t  R       8:27      1 a020
       14838682_52      epyc variant_ takumi_t  R       8:27      1 a020
       14838682_53      epyc variant_ takumi_t  R       8:27      1 a023
       14838682_48      epyc variant_ takumi_t  R       9:57      1 a023
       14838682_47      epyc variant_ takumi_t  R      10:27      1 a023
       14838682_46      epyc variant_ takumi_t  R      10:57      1 a022
       14838682_44      epyc variant_ takumi_t  R      11:27      1 a018
       14838682_45      epyc variant_ takumi_t  R      11:27      1 a020
       14838682_39      epyc variant_ takumi_t  R      11:57      1 a020
       14838682_40      epyc variant_ takumi_t  R      11:57      1 a023
       14838682_41      epyc variant_ takumi_t  R      11:57      1 a023
       14838682_42      epyc variant_ takumi_t  R      11:57      1 a023
       14838682_43      epyc variant_ takumi_t  R      11:57      1 a004
       14838682_35      epyc variant_ takumi_t  R      12:27      1 a020
       14838682_36      epyc variant_ takumi_t  R      12:27      1 a018
       14838682_37      epyc variant_ takumi_t  R      12:27      1 a018
       14838682_38      epyc variant_ takumi_t  R      12:27      1 a018
       14838682_33      epyc variant_ takumi_t  R      13:27      1 a026
       14838682_34      epyc variant_ takumi_t  R      13:27      1 a004
       14838682_32      epyc variant_ takumi_t  R      13:57      1 a018
       14838682_31      epyc variant_ takumi_t  R      14:57      1 a017
       14838682_29      epyc variant_ takumi_t  R      15:58      1 a020
       14838682_30      epyc variant_ takumi_t  R      15:58      1 a026
       14838682_26      epyc variant_ takumi_t  R      16:28      1 a026
       14838682_27      epyc variant_ takumi_t  R      16:28      1 a004
       14838682_28      epyc variant_ takumi_t  R      16:28      1 a004
       14838682_24      epyc variant_ takumi_t  R      16:58      1 a020
       14838682_25      epyc variant_ takumi_t  R      16:58      1 a004
       14838682_22      epyc variant_ takumi_t  R      17:28      1 a020
       14838682_23      epyc variant_ takumi_t  R      17:28      1 a004
       14838682_21      epyc variant_ takumi_t  R      17:58      1 a004
       14838682_20      epyc variant_ takumi_t  R      18:28      1 a004
       14838682_18      epyc variant_ takumi_t  R      18:58      1 a020
       14838682_19      epyc variant_ takumi_t  R      18:58      1 a004
       14838682_17      epyc variant_ takumi_t  R      20:28      1 a004
       14838682_16      epyc variant_ takumi_t  R      20:58      1 a004
       14838682_15      epyc variant_ takumi_t  R      21:58      1 a004
       14838682_11      epyc variant_ takumi_t  R      22:58      1 a026
       14838682_12      epyc variant_ takumi_t  R      22:58      1 a004
       14838682_13      epyc variant_ takumi_t  R      22:58      1 a004
        14838682_7      epyc variant_ takumi_t  R      23:28      1 a020
        14838682_8      epyc variant_ takumi_t  R      23:28      1 a020
        14838682_9      epyc variant_ takumi_t  R      23:28      1 a004
       14838682_10      epyc variant_ takumi_t  R      23:28      1 a004
        14838682_6      epyc variant_ takumi_t  R      23:58      1 a004
        14838682_4      epyc variant_ takumi_t  R      24:28      1 a020
        14838682_3      epyc variant_ takumi_t  R      25:28      1 a004
          14838964      epyc potentia moriya-h  R      19:58      1 a025
      14838984_599      epyc   tms_dl hidakaky  R       0:25      1 a018
      14838984_601      epyc   tms_dl hidakaky  R       0:25      1 a017
      14838984_605      epyc   tms_dl hidakaky  R       0:25      1 a017
          14838573      epyc blastnr3  mishina  R    2:48:41      1 a004
          14838574      epyc blastnr4  mishina  R    2:48:41      1 a004
          14838584      epyc 3.Combin k-yoshid  R    2:34:40      1 a020
          14828576      epyc  HapCall akihirao  R 1-12:58:48      1 a004
          14796014      epyc Rs_KMC3_     gena  R 8-00:05:04      1 a004
          14796012      epyc Rs_male_     gena  R 8-00:31:10      1 a019
          14817103      epyc   verkko huong-ta  R 2-22:54:27      1 a018
        14803047_6      epyc RelatePa yusuke-f  R   16:37:52      1 a023
        14803047_5      epyc RelatePa yusuke-f  R   18:47:38      1 a025
        14803047_4      epyc RelatePa yusuke-f  R   19:22:42      1 a024
          14830204      epyc refYaWGS funakawa  R 1-12:45:46      1 a019
        14838612_4      epyc fastStru funakawa  R      51:31      1 a023
        14838612_1      epyc fastStru funakawa  R    1:50:07      1 a026
        14838612_2      epyc fastStru funakawa  R    1:50:07      1 a022
        14838612_3      epyc fastStru funakawa  R    1:50:07      1 a022
       14824405_15      epyc ipr_1_pr ryotakum  R 2-07:49:08      1 a022
       14824405_57      epyc ipr_1_pr ryotakum  R 2-04:38:51      1 a025
       14824405_47      epyc ipr_1_pr ryotakum  R 2-05:14:23      1 a024
       14824405_46      epyc ipr_1_pr ryotakum  R 2-05:16:24      1 a049
        14799606_2      epyc     HFas   ussiek  R 6-23:07:19      1 a025
        14799606_1      epyc     HFas   ussiek  R 6-23:59:01      1 a024
        14799606_6      epyc     HFas   ussiek  R 6-20:17:09      1 a049
        14799606_5      epyc     HFas   ussiek  R 6-20:20:40      1 a049
        14799606_4      epyc     HFas   ussiek  R 6-21:57:33      1 a049
